Product_ID,Product_Name,Size,Packaging_Quantity,Purchase_Price,GST_Percentage,Landed_Cost,Selling_Price,Customer_ID,Customer_Type,City,State,Order_ID,Order_Date,Sales_Channel,Quantity_Sold,Current_Stock,Restock_Priority,Delivery_Status
P003,Food Container,375ML,1000,1.94,18,2.29,2.85,C079,Returning,Nagpur,Maharashtra,O00052,06-10-2025,Distributor,612,1021,4,Delayed
P007,Sauce Box,500ML,2000,2.15,18,2.54,3.15,C103,Returning,Mumbai,Maharashtra,O00053,24-04-2025,Direct,1243,3475,5,Delayed
P010,Takeaway Box,500ML,1500,2.23,18,2.63,3.44,C030,New,Hyderabad,Telangana,O00054,26-01-2025,Distributor,410,135,2,On Time
P009,Round Container,375ML,1000,1.64,18,1.94,2.96,C028,Returning,Bangalore,Karnataka,O00055,18-03-2025,Direct,1869,4534,1,In Transit
P002,Hinged Box HL,250ML,1000,1.57,18,1.85,2.38,C022,New,Mumbai,Maharashtra,O00056,03-01-2025,Distributor,1861,3687,4,Delayed
P008,Square Box,500ML,1500,1.78,18,2.1,3.04,C083,Returning,Delhi,Delhi,O00057,29-08-2025,Direct,1108,2898,5,On Time
P006,Catering Box,375ML,2000,1.54,18,1.82,2.78,C113,Returning,Ahmedabad,Gujarat,O00058,04-11-2025,Direct,667,4072,3,On Time
P007,Sauce Box,1000ML,1000,3.37,18,3.98,4.82,C194,Returning,Ahmedabad,Gujarat,O00059,16-12-2025,Distributor,1313,673,5,In Transit
P003,Food Container,1000ML,1500,2.73,18,3.22,4.24,C031,Returning,Pune,Maharashtra,O00060,15-12-2025,Distributor,1277,1836,6,In Transit
P002,Hinged Box HL,1000ML,1000,2.75,18,3.24,4.87,C173,New,Indore,Madhya Pradesh,O00061,27-04-2025,Distributor,285,2503,3,In Transit
P001,Hinged Box,250ML,2000,1.53,18,1.81,2.44,C073,New,Aurangabad,Maharashtra,O00062,30-11-2025,Distributor,1369,84,6,In Transit
P008,Square Box,1000ML,1000,2.57,18,3.03,4.38,C142,New,Indore,Madhya Pradesh,O00063,29-03-2025,Direct,1643,4264,2,Delayed
P008,Square Box,1000ML,2000,2.79,18,3.29,4.37,C146,Returning,Nashik,Maharashtra,O00064,24-07-2025,Distributor,1385,2870,6,Delayed
P010,Takeaway Box,1000ML,500,2.73,18,3.22,4.95,C124,Returning,Indore,Madhya Pradesh,O00065,09-09-2025,Direct,164,3328,2,On Time
P008,Square Box,1000ML,1500,2.67,18,3.15,4.3,C167,New,Nagpur,Maharashtra,O00066,08-12-2025,Direct,1132,2514,2,In Transit
P010,Takeaway Box,750ML,500,2.66,18,3.14,4.18,C090,Returning,Pune,Maharashtra,O00067,31-12-2025,Direct,1901,4644,5,In Transit
P006,Catering Box,375ML,1000,1.68,18,1.98,2.82,C050,Returning,Hyderabad,Telangana,O00068,12-12-2025,Direct,1804,4468,4,Delayed
P005,Storage Box,250ML,1000,1.57,18,1.85,2.3,C080,New,Aurangabad,Maharashtra,O00069,28-09-2025,Distributor,1503,350,5,Delayed
P004,Meal Box,375ML,500,1.83,18,2.16,2.93,C103,Returning,Hyderabad,Telangana,O00070,30-11-2025,Direct,1223,2943,6,In Transit
P001,Hinged Box,250ML,2000,1.44,18,1.7,2.37,C015,Returning,Pune,Maharashtra,O00071,17-03-2025,Direct,228,4869,3,Delayed
P005,Storage Box,750ML,500,2.33,18,2.75,3.63,C078,New,Mumbai,Maharashtra,O00072,19-05-2025,Direct,52,4695,4,On Time
P004,Meal Box,1000ML,500,2.89,18,3.41,4.84,C112,New,Mumbai,Maharashtra,O00073,06-02-2025,Distributor,1731,306,3,In Transit
P006,Catering Box,375ML,2000,1.99,18,2.35,2.87,C078,Returning,Delhi,Delhi,O00074,20-04-2025,Direct,1414,3108,2,In Transit
P002,Hinged Box HL,500ML,2000,2.23,18,2.63,3.33,C058,Returning,Hyderabad,Telangana,O00075,30-01-2025,Direct,1781,68,2,Delayed
P006,Catering Box,375ML,2000,1.81,18,2.14,2.82,C038,New,Indore,Madhya Pradesh,O00076,02-12-2025,Direct,1966,4099,5,On Time
P006,Catering Box,750ML,1500,2.35,18,2.77,4.18,C148,Returning,Bangalore,Karnataka,O00077,21-08-2025,Direct,1171,4353,1,On Time
P008,Square Box,500ML,2000,2.17,18,2.56,3.14,C064,Returning,Nagpur,Maharashtra,O00078,10-09-2025,Direct,1807,2672,4,On Time
P001,Hinged Box,1000ML,1000,2.71,18,3.2,4.23,C094,New,Aurangabad,Maharashtra,O00079,22-02-2025,Direct,1326,4926,4,Delayed
P003,Food Container,375ML,1000,1.79,18,2.11,2.76,C161,Returning,Delhi,Delhi,O00080,30-11-2025,Direct,948,3435,6,Delayed
P001,Hinged Box,1000ML,1500,3.18,18,3.75,4.79,C006,Returning,Nagpur,Maharashtra,O00081,21-10-2025,Distributor,1138,665,1,On Time
P009,Round Container,500ML,1000,2.03,18,2.4,3.05,C072,Returning,Pune,Maharashtra,O00082,12-08-2025,Direct,1782,2511,1,In Transit
P005,Storage Box,750ML,2000,2.3,18,2.71,3.89,C093,New,Hyderabad,Telangana,O00083,14-07-2025,Direct,1409,4239,1,In Transit
P001,Hinged Box,375ML,1000,1.86,18,2.19,2.67,C121,New,Nashik,Maharashtra,O00084,23-12-2025,Direct,974,1160,5,Delayed
P002,Hinged Box HL,375ML,2000,1.72,18,2.03,2.66,C140,New,Bangalore,Karnataka,O00085,10-07-2025,Direct,1954,15,2,Delayed
P005,Storage Box,250ML,500,1.64,18,1.94,2.42,C074,New,Aurangabad,Maharashtra,O00086,01-06-2025,Direct,1931,3877,4,In Transit
P009,Round Container,500ML,1000,1.99,18,2.35,3.13,C169,Returning,Indore,Madhya Pradesh,O00087,13-05-2025,Direct,1859,4263,5,Delayed
P005,Storage Box,1000ML,1000,2.84,18,3.35,4.69,C057,New,Pune,Maharashtra,O00088,14-08-2025,Distributor,1057,1665,5,On Time
P010,Takeaway Box,375ML,1000,1.82,18,2.15,2.62,C156,Returning,Indore,Madhya Pradesh,O00089,18-06-2025,Distributor,1039,1481,6,Delayed
P002,Hinged Box HL,250ML,1500,1.33,18,1.57,2.31,C054,New,Bangalore,Karnataka,O00090,15-12-2025,Distributor,565,1580,2,In Transit
P003,Food Container,500ML,1000,2.18,18,2.57,3.41,C082,New,Mumbai,Maharashtra,O00091,19-10-2025,Direct,1614,3273,3,In Transit
P002,Hinged Box HL,1000ML,500,2.96,18,3.49,4.46,C060,New,Ahmedabad,Gujarat,O00092,17-06-2025,Direct,940,599,5,In Transit
P009,Round Container,250ML,1500,1.67,18,1.97,2.42,C114,Returning,Delhi,Delhi,O00093,20-01-2025,Direct,1915,26,4,On Time
P007,Sauce Box,250ML,1500,1.46,18,1.72,2.25,C167,New,Pune,Maharashtra,O00094,24-12-2025,Distributor,1287,3715,3,On Time
P001,Hinged Box,1000ML,1000,2.92,18,3.45,4.5,C006,New,Mumbai,Maharashtra,O00095,28-08-2025,Distributor,500,2660,2,In Transit
P007,Sauce Box,750ML,1500,2.21,18,2.61,3.9,C089,New,Indore,Madhya Pradesh,O00096,17-06-2025,Direct,1110,3756,1,On Time
P006,Catering Box,250ML,2000,1.71,18,2.02,2.5,C192,Returning,Pune,Maharashtra,O00097,23-05-2025,Direct,1362,410,5,In Transit
P003,Food Container,375ML,500,1.93,18,2.28,2.87,C060,Returning,Aurangabad,Maharashtra,O00098,18-05-2025,Direct,973,641,1,Delayed
P008,Square Box,750ML,1500,2.54,18,3,3.92,C077,Returning,Nagpur,Maharashtra,O00099,26-04-2025,Direct,897,880,6,On Time
P003,Food Container,375ML,1500,1.64,18,1.94,2.65,C079,Returning,Indore,Madhya Pradesh,O00100,14-02-2025,Distributor,1956,4052,5,In Transit
P008,Square Box,500ML,1500,1.97,18,2.32,3.55,C160,Returning,Nagpur,Maharashtra,O00101,07-09-2025,Distributor,1527,3173,5,In Transit
P003,Food Container,750ML,1500,2.36,18,2.78,3.97,C149,Returning,Pune,Maharashtra,O00102,29-08-2025,Distributor,1155,1208,5,Delayed
P008,Square Box,375ML,1500,1.97,18,2.32,2.96,C009,Returning,Nashik,Maharashtra,O00103,07-03-2025,Direct,1351,70,4,Delayed
P009,Round Container,250ML,1500,1.44,18,1.7,2.54,C118,New,Mumbai,Maharashtra,O00104,24-11-2025,Direct,652,4333,6,Delayed
P002,Hinged Box HL,375ML,1000,1.69,18,1.99,2.64,C033,Returning,Hyderabad,Telangana,O00105,12-10-2025,Distributor,1664,3355,6,Delayed
P001,Hinged Box,1000ML,1000,3.41,18,4.02,4.98,C034,Returning,Indore,Madhya Pradesh,O00106,01-10-2025,Direct,1966,1652,2,Delayed
P002,Hinged Box HL,500ML,1500,2.06,18,2.43,3.05,C106,New,Indore,Madhya Pradesh,O00107,04-08-2025,Distributor,1289,664,4,Delayed
P007,Sauce Box,375ML,500,1.7,18,2.01,2.98,C123,New,Indore,Madhya Pradesh,O00108,02-10-2025,Direct,262,295,1,On Time
P006,Catering Box,250ML,1000,1.33,18,1.57,2.36,C043,New,Nagpur,Maharashtra,O00109,13-03-2025,Distributor,960,1723,2,Delayed
P008,Square Box,250ML,500,1.6,18,1.89,2.3,C058,Returning,Nagpur,Maharashtra,O00110,08-04-2025,Distributor,403,4629,5,In Transit
P003,Food Container,250ML,500,1.72,18,2.03,2.46,C036,Returning,Nagpur,Maharashtra,O00111,28-09-2025,Distributor,1348,4005,6,Delayed
P006,Catering Box,375ML,500,2.02,18,2.38,2.89,C022,New,Aurangabad,Maharashtra,O00112,09-05-2025,Distributor,736,4944,1,In Transit
P005,Storage Box,250ML,2000,1.44,18,1.7,2.26,C093,Returning,Pune,Maharashtra,O00113,06-03-2025,Distributor,1838,4752,4,On Time
P009,Round Container,250ML,500,1.72,18,2.03,2.46,C138,New,Bangalore,Karnataka,O00114,11-11-2025,Direct,1457,693,3,Delayed
P009,Round Container,750ML,2000,2.3,18,2.71,3.68,C136,New,Ahmedabad,Gujarat,O00115,14-03-2025,Direct,600,1638,4,In Transit
P006,Catering Box,750ML,2000,2.29,18,2.7,4.12,C035,Returning,Bangalore,Karnataka,O00116,03-10-2025,Direct,1739,4152,5,In Transit
P003,Food Container,750ML,2000,2.22,18,2.62,3.86,C161,New,Ahmedabad,Gujarat,O00117,18-02-2025,Distributor,1267,2032,6,In Transit
P007,Sauce Box,375ML,1500,1.56,18,1.84,2.64,C017,Returning,Ahmedabad,Gujarat,O00118,10-05-2025,Distributor,876,4390,5,On Time
P009,Round Container,375ML,1500,1.74,18,2.05,2.67,C004,Returning,Nashik,Maharashtra,O00119,27-07-2025,Distributor,348,2609,1,In Transit
P010,Takeaway Box,1000ML,1500,2.97,18,3.5,4.69,C198,Returning,Mumbai,Maharashtra,O00120,10-03-2025,Direct,346,4427,2,Delayed
P001,Hinged Box,1000ML,500,2.8,18,3.3,4.96,C127,New,Indore,Madhya Pradesh,O00121,26-11-2025,Distributor,1088,2502,4,Delayed
P004,Meal Box,1000ML,1000,2.92,18,3.45,4.4,C112,Returning,Indore,Madhya Pradesh,O00122,13-12-2025,Direct,1219,705,5,Delayed
P005,Storage Box,500ML,2000,1.82,18,2.15,3.3,C015,Returning,Pune,Maharashtra,O00123,26-10-2025,Direct,1337,4808,4,On Time
P009,Round Container,250ML,500,1.5,18,1.77,2.21,C120,Returning,Mumbai,Maharashtra,O00124,10-01-2025,Distributor,514,3310,2,Delayed
P010,Takeaway Box,250ML,1000,1.65,18,1.95,2.51,C007,Returning,Nagpur,Maharashtra,O00125,21-03-2025,Direct,1898,2106,2,In Transit
P008,Square Box,250ML,1500,1.34,18,1.58,2.27,C046,New,Ahmedabad,Gujarat,O00126,24-07-2025,Distributor,780,4841,3,In Transit
P005,Storage Box,375ML,1000,2.04,18,2.41,2.97,C068,Returning,Indore,Madhya Pradesh,O00127,06-01-2025,Direct,67,4706,6,On Time
P010,Takeaway Box,250ML,1000,1.51,18,1.78,2.51,C081,New,Mumbai,Maharashtra,O00128,16-08-2025,Distributor,256,781,2,In Transit
P002,Hinged Box HL,500ML,2000,2.17,18,2.56,3.46,C086,New,Aurangabad,Maharashtra,O00129,29-12-2025,Direct,1920,1615,2,In Transit
P010,Takeaway Box,500ML,2000,1.92,18,2.27,3.21,C077,Returning,Hyderabad,Telangana,O00130,26-02-2025,Direct,521,4484,4,Delayed
P003,Food Container,375ML,500,1.65,18,1.95,2.85,C084,New,Aurangabad,Maharashtra,O00131,27-12-2025,Direct,1667,1469,1,In Transit
P004,Meal Box,375ML,2000,1.77,18,2.09,2.83,C084,Returning,Nagpur,Maharashtra,O00132,27-11-2025,Direct,1479,2604,1,On Time
P010,Takeaway Box,250ML,1000,1.3,18,1.53,2.31,C098,Returning,Nagpur,Maharashtra,O00133,20-11-2025,Distributor,406,1136,1,Delayed
P007,Sauce Box,250ML,1000,1.53,18,1.81,2.34,C073,Returning,Nagpur,Maharashtra,O00134,13-10-2025,Distributor,784,4698,6,On Time
P005,Storage Box,375ML,2000,1.71,18,2.02,2.74,C075,New,Bangalore,Karnataka,O00135,06-07-2025,Direct,1622,2004,3,On Time
P010,Takeaway Box,250ML,1500,1.66,18,1.96,2.44,C170,Returning,Hyderabad,Telangana,O00136,18-06-2025,Distributor,1537,1245,1,Delayed
P009,Round Container,500ML,500,2.1,18,2.48,3.01,C163,Returning,Delhi,Delhi,O00137,19-11-2025,Distributor,1957,1359,2,Delayed
P008,Square Box,750ML,500,2.24,18,2.64,3.91,C158,Returning,Mumbai,Maharashtra,O00138,31-01-2025,Distributor,1568,1446,5,Delayed
P010,Takeaway Box,1000ML,1000,2.74,18,3.23,4.79,C040,Returning,Nashik,Maharashtra,O00139,21-04-2025,Direct,1747,1716,4,Delayed
P005,Storage Box,375ML,500,1.55,18,1.83,2.73,C107,Returning,Ahmedabad,Gujarat,O00140,23-05-2025,Distributor,1503,2881,6,In Transit
P004,Meal Box,250ML,500,1.45,18,1.71,2.21,C001,New,Aurangabad,Maharashtra,O00141,24-09-2025,Direct,1882,1273,1,In Transit
P004,Meal Box,375ML,1000,1.74,18,2.05,2.91,C143,New,Hyderabad,Telangana,O00142,20-03-2025,Direct,915,3386,4,On Time
P005,Storage Box,1000ML,1000,2.99,18,3.53,4.91,C064,Returning,Aurangabad,Maharashtra,O00143,22-01-2025,Distributor,1110,2117,5,On Time
P006,Catering Box,1000ML,2000,2.95,18,3.48,4.29,C075,Returning,Nashik,Maharashtra,O00144,14-07-2025,Distributor,130,2596,3,On Time
P010,Takeaway Box,375ML,1500,1.94,18,2.29,2.82,C023,Returning,Delhi,Delhi,O00145,07-02-2025,Distributor,753,576,3,On Time
P008,Square Box,250ML,2000,1.43,18,1.69,2.48,C194,Returning,Indore,Madhya Pradesh,O00146,07-02-2025,Direct,1808,1825,6,Delayed
P001,Hinged Box,750ML,1500,2.43,18,2.87,3.73,C068,New,Nashik,Maharashtra,O00147,22-02-2025,Direct,1120,178,4,On Time
P006,Catering Box,750ML,1000,2.31,18,2.73,3.68,C163,New,Indore,Madhya Pradesh,O00148,23-02-2025,Direct,169,2460,3,Delayed
P003,Food Container,750ML,1500,2.3,18,2.71,3.88,C186,Returning,Nagpur,Maharashtra,O00149,28-03-2025,Direct,1667,2575,5,In Transit
P006,Catering Box,250ML,1500,1.52,18,1.79,2.23,C059,New,Nagpur,Maharashtra,O00150,03-02-2025,Direct,233,4051,6,Delayed
P007,Sauce Box,750ML,1500,2.2,18,2.6,3.88,C198,Returning,Mumbai,Maharashtra,O00151,29-12-2025,Direct,516,762,4,In Transit
P009,Round Container,500ML,1500,1.89,18,2.23,3.09,C148,New,Delhi,Delhi,O00152,16-02-2025,Direct,444,4084,1,In Transit
P008,Square Box,500ML,1000,1.96,18,2.31,3.37,C169,Returning,Delhi,Delhi,O00153,30-01-2025,Distributor,1929,241,4,Delayed
P006,Catering Box,750ML,2000,2.3,18,2.71,3.94,C090,Returning,Delhi,Delhi,O00154,02-11-2025,Direct,985,1017,2,On Time
P001,Hinged Box,1000ML,1000,2.55,18,3.01,4.34,C059,New,Nagpur,Maharashtra,O00155,24-09-2025,Direct,1207,3034,4,Delayed
P008,Square Box,750ML,2000,2.13,18,2.51,3.66,C033,Returning,Delhi,Delhi,O00156,13-07-2025,Distributor,1267,354,2,On Time
P004,Meal Box,500ML,1000,2.05,18,2.42,3.08,C066,Returning,Bangalore,Karnataka,O00157,26-07-2025,Direct,490,4526,6,Delayed
P003,Food Container,250ML,1000,1.49,18,1.76,2.38,C047,New,Pune,Maharashtra,O00158,20-06-2025,Distributor,1051,2681,3,On Time
P003,Food Container,750ML,500,2.39,18,2.82,4.07,C033,Returning,Pune,Maharashtra,O00159,28-12-2025,Direct,1141,1628,5,In Transit
P007,Sauce Box,500ML,500,1.92,18,2.27,3.43,C093,Returning,Nagpur,Maharashtra,O00160,23-12-2025,Distributor,1814,4735,4,In Transit
P003,Food Container,750ML,1000,2.33,18,2.75,3.98,C193,New,Delhi,Delhi,O00161,22-03-2025,Direct,896,529,6,Delayed
P010,Takeaway Box,375ML,500,1.78,18,2.1,2.6,C098,New,Indore,Madhya Pradesh,O00162,10-11-2025,Distributor,1506,791,3,In Transit
P002,Hinged Box HL,250ML,500,1.55,18,1.83,2.33,C164,Returning,Ahmedabad,Gujarat,O00163,14-12-2025,Distributor,1047,259,3,In Transit
P006,Catering Box,375ML,2000,1.66,18,1.96,2.82,C101,Returning,Aurangabad,Maharashtra,O00164,25-09-2025,Distributor,1559,4121,5,In Transit
P005,Storage Box,250ML,2000,1.48,18,1.75,2.2,C178,New,Aurangabad,Maharashtra,O00165,24-11-2025,Direct,1541,1916,4,In Transit
P007,Sauce Box,1000ML,2000,2.87,18,3.39,4.59,C001,Returning,Mumbai,Maharashtra,O00166,01-10-2025,Direct,1803,4086,6,In Transit
P005,Storage Box,750ML,2000,2.28,18,2.69,3.68,C070,New,Ahmedabad,Gujarat,O00167,17-09-2025,Direct,101,1325,6,Delayed
P004,Meal Box,750ML,2000,2.41,18,2.84,4.07,C033,New,Nagpur,Maharashtra,O00168,03-07-2025,Direct,879,3360,4,In Transit
P005,Storage Box,375ML,1500,1.89,18,2.23,2.85,C162,Returning,Hyderabad,Telangana,O00169,23-03-2025,Direct,188,455,6,In Transit
P002,Hinged Box HL,750ML,2000,2.55,18,3.01,3.98,C052,Returning,Aurangabad,Maharashtra,O00170,19-09-2025,Direct,1727,3287,5,Delayed
P003,Food Container,750ML,1000,2.57,18,3.03,3.75,C135,Returning,Delhi,Delhi,O00171,22-12-2025,Direct,1983,2558,1,In Transit
P002,Hinged Box HL,500ML,1000,2.08,18,2.45,3.23,C101,New,Delhi,Delhi,O00172,14-04-2025,Distributor,741,707,2,On Time
P009,Round Container,750ML,1000,2.41,18,2.84,4.11,C108,Returning,Aurangabad,Maharashtra,O00173,23-08-2025,Direct,1864,3183,3,In Transit
P007,Sauce Box,250ML,1500,1.56,18,1.84,2.24,C165,Returning,Mumbai,Maharashtra,O00174,28-11-2025,Distributor,1535,2036,2,On Time
P004,Meal Box,750ML,1000,2.1,18,2.48,3.63,C080,New,Ahmedabad,Gujarat,O00175,17-11-2025,Direct,1958,2590,4,Delayed
P004,Meal Box,375ML,500,1.78,18,2.1,2.65,C166,New,Delhi,Delhi,O00176,17-02-2025,Direct,1452,1625,4,On Time
P007,Sauce Box,375ML,2000,1.89,18,2.23,2.83,C175,New,Nagpur,Maharashtra,O00177,09-02-2025,Direct,1521,2723,2,Delayed
P006,Catering Box,1000ML,1500,3,18,3.54,4.69,C052,New,Ahmedabad,Gujarat,O00178,07-07-2025,Direct,1175,121,6,In Transit
P003,Food Container,375ML,2000,1.82,18,2.15,2.85,C019,Returning,Indore,Madhya Pradesh,O00179,10-11-2025,Direct,779,3238,4,Delayed
